,Ticker,Company Name,Country,Sector,Subsector,Environmental SCORE,Social SCORE,Governance SCORE,Assets,"Cash and Cash Equivalents, at Carrying Value",Final Revenue,Gross Profit,Income from Continuing Operations before Taxes,Operating Income (Loss),Total Equity,Total Liabilities and Equity,Net Income (Loss),"Cash and Cash Equivalents, Period Increase (Decrease)",Target
236,ENDP,ENDO FINANCE LLC,US,Pharmaceuticals,Pharmaceuticals,3.4,2.6,5.5,"18,636,800,000","221,968,000","963,539,000","274,834,000","-207,478,000","-92,592,000","5,924,146,000","18,636,800,000","-133,869,000","-50,380,000",0
237,ERII,"ENERGY RECOVERY, INC",US,Industrial Machinery,Industrial Machinery,5.2,6.6,5.6,"144,705,000","96,527,000","10,051,000","6,377,000","-2,171,000","-2,149,000","60,236,000","144,705,000","-1,966,000","-3,404,000",1
238,ENPH,"ENPHASE ENERGY, INC",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,8.3,2.6,5.9,"158,520,000","13,016,000","64,121,000","11,760,000","11,760,000","-19,088,000","25,560,000","158,520,000","-18,795,000","-15,436,000",1
239,ENTG,"ENTEGRIS, INC",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,4.5,5.2,6.3,,,"267,024,000","114,706,000","21,085,000","29,559,000",,,"16,212,000","-5,422,000",1
240,EFSC,ENTERPRISE FINANCIAL SERVICES CORP,US,Banks,Regional Banks,0.5,4.2,6.9,"3,709,905,000","106,233,000",,,"16,911,000",,"359,384,000","3,709,905,000","11,025,000","12,076,000",0
241,EPZM,"EPIZYME, INC",US,Biotechnology,Biotechnology,3.2,4.0,4.6,"322,704,000","312,656,000",,,,"-23,114,000","279,010,000","322,704,000","-22,879,000","104,333,000",0
242,PLUS,EPLUS INC,US,"Electronic Equipment, Instruments & Components",Technology Distributors,4.8,4.0,5.2,"616,680,000","94,766,000","299,403,000","66,946,000","66,946,000","16,379,000","318,878,000","616,680,000","9,957,000",,1
243,EQIX,"EQUINIX, INC",US,Software & Services,Specialized REITs,9.4,6.7,5.4,"13,495,835,000","633,758,000","844,156,000","416,476,000","416,476,000","112,688,000","4,819,105,000","13,495,835,000","-31,111,000","-1,595,080,000",1
244,ETSY,"ETSY, INC",US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,10.0,4.8,3.6,"549,176,000","158,381,000","81,847,000","53,936,000","53,936,000","6,783,000","329,531,000","549,176,000","1,192,000","-112,863,000",1
245,EEFT,"EURONET WORLDWIDE, INC",US,Software & Services,Data Processing & Outsourced Services,6.7,3.2,3.7,"2,232,219,000","548,532,000","437,894,000",,,"41,889,000","818,331,000","2,232,219,000","29,094,000","91,014,000",0
246,EVBG,"EVERBRIDGE, INC",US,Software & Services,Application Software,3.7,4.9,5.2,,"5,095,000","17,069,000","11,594,000","11,594,000","-3,249,000",,,"-3,225,000","-3,483,000",1
247,EVLV,Evolv Technologies Holdings Inc,US,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2.1,2.5,5.0,"265,497,000","11,897,000","166,920,000","61,448,000","-4,737,000","-3,534,000","76,979,000","265,497,000",,"20,826,000",0
248,EXAS,EXACT SCIENCES CORPORATION,US,Biotechnology,Biotechnology,3.1,5.5,4.7,"323,788,000","52,151,000","14,835,000","5,776,000","5,776,000","-47,885,000","288,333,000","323,788,000",,"11,016,000",1
249,EXEL,"EXELIXIS, INC",US,Biotechnology,Biotechnology,2.2,3.7,4.6,"492,533,000","276,882,000","15,427,000","8,414,000","-59,223,000","-49,135,000",,"492,533,000","-59,223,000","135,248,000",0
250,EXLS,"EXLSERVICE HOLDINGS, INC",US,Software & Services,Data Processing & Outsourced Services,9.3,3.8,6.0,"642,280,000","95,774,000","167,036,000","58,657,000","58,657,000","16,452,000","483,614,000","642,280,000","13,820,000","-109,549,000",1
251,EXPE,"EXPEDIA GROUP, INC",US,Hotels & Travel,"Hotels, Resorts & Cruise Lines",10.0,4.7,3.1,"16,390,044,000","2,063,329,000","1,903,961,000",,,"-97,298,000","4,631,700,000","16,390,044,000","-108,589,000","387,030,000",0
252,EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC",US,Air Freight & Logistics,Air Freight & Logistics,9.1,6.3,6.2,"2,661,540,000","1,013,917,000","1,418,472,000",,"155,484,000","151,826,000","1,779,251,000","2,679,743,000","96,584,000","206,121,000",1
253,EXPO,"EXPONENT, INC",US,Professional Services,Research & Consulting Services,6.7,4.6,5.4,"387,507,000","125,751,000","83,156,000",,"17,734,000","16,436,000","262,804,000","387,507,000","15,350,000","-27,216,000",0
254,EXTR,"EXTREME NETWORKS, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.8,3.0,5.8,"368,991,000","88,334,000","124,886,000","62,720,000","62,720,000","-8,911,000","90,285,000","368,991,000","-10,784,000",,0
255,FFIV,"F5, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.9,4.2,6.3,"2,242,140,000","398,325,000","483,677,000","401,447,000","115,066,000","114,933,000",,"2,242,140,000","75,415,000",,1
256,FB,"META PLATFORMS, INC",US,Interactive Media & Services,Interactive Media & Services,10.0,2.6,2.9,"52,262,000,000","6,456,000,000","5,382,000,000",,,"2,010,000,000","47,150,000,000","52,075,000,000","1,738,000,000","1,549,000,000",0
257,FARO,"FARO TECHNOLOGIES, INC",US,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2.6,4.5,5.5,"418,254,000","120,278,000","75,748,000","42,671,000","42,671,000","4,330,000","339,344,000","418,254,000","3,080,000","12,922,000",1
258,FAST,FASTENAL COMPANY,US,Trading Companies & Distributors,Trading Companies & Distributors,2.9,6.2,6.4,"2,642,781,000","150,600,000","986,700,000","491,500,000","199,900,000","201,200,000","1,821,876,000","2,642,781,000","126,200,000","21,600,000",1
259,FATE,"FATE THERAPEUTICS, INC",US,Biotechnology,Biotechnology,6.4,4.3,4.6,"58,705,000","39,487,000","1,322,000",,,"-7,916,000","30,727,000","58,705,000","-8,377,000","-25,322,000",0
260,FGEN,FibroGen Inc,US,Biotechnology,Biotechnology,5.3,4.1,4.4,"442,535,000","140,959,000","28,282,000",,,"-26,785,000","156,952,000","442,535,000","-27,841,000","-12,365,000",0
261,FBMS,"THE FIRST BANCSHARES, INC",US,Banks,Regional Banks,1.5,3.0,5.0,"1,241,951,000",,,,"3,573,000",,"107,197,000","1,241,951,000","2,604,000","54,706,000",0
262,FCNCA,"FIRST CITIZENS BANCSHARES, INC",US,Banks,Regional Banks,0.6,3.2,4.7,"32,195,657,000","457,758,000",,,,,"2,961,194,000","32,195,657,000","52,072,000","-76,328,000",0
263,FCBC,"First Community Bankshares, Inc",US,Banks,Regional Banks,1.5,3.0,4.5,"2,470,287,000","39,587,000",,,"9,013,000",,"337,629,000","2,470,287,000","6,084,000","-12,200,000",0
264,FFBC,FIRST FINANCIAL BANCORP,US,Banks,Regional Banks,0.4,4.2,5.0,"8,193,554,000",,,,"29,692,000",,"826,587,000","8,193,554,000","19,814,000","-12,166,000",0
265,FFIN,"FIRST FINANCIAL BANKSHARES, INC",US,Banks,Regional Banks,1.4,2.8,5.8,"6,525,185,000",,,,,,"838,608,000","6,525,185,000","25,696,000","-107,238,000",0
266,THFF,FIRST FINANCIAL CORPORATION,US,Banks,Regional Banks,0.4,3.7,4.3,"2,939,240,000","66,125,000",,,,,"411,912,000","2,939,240,000","13,675,000",,0
267,FFWM,FIRST FOUNDATION INC,US,Banks,Regional Banks,1.0,3.3,5.1,"2,690,173,000","52,817,000",,,,,"270,180,000","2,690,173,000","3,787,000",,0
268,FHB,"FIRST HAWAIIAN, INC",US,Banks,Regional Banks,1.9,3.9,5.6,,"2,349,058,000",,,,,"2,471,734,000",,"65,531,000",,1
269,FIBK,"FIRST INTERSTATE BANCSYSTEM, INC",US,Banks,Regional Banks,0.6,3.5,6.0,"8,690,680,000","655,528,000",,,,,"942,014,000","8,690,680,000","20,124,000","-124,929,000",1
270,FRME,FIRST MERCHANTS CORPORATION,US,Banks,Regional Banks,0.7,3.1,6.4,"6,798,539,000","85,738,000",,,"23,267,000",,"867,263,000","6,798,539,000","17,693,000","-16,432,000",0
271,FMBH,"FIRST MID BANCSHARES, INC",US,Banks,Regional Banks,0.0,3.1,5.8,"2,119,644,000","79,699,000",,,"7,447,000",,"212,032,000","2,119,644,000","4,806,000","-36,085,000",0
272,FLIC,THE FIRST OF LONG ISLAND CORPORATION,US,Banks,Regional Banks,2.2,3.7,5.3,"3,234,376,000","42,321,000",,,"9,771,000",,"260,436,000","3,234,376,000","7,635,000","2,686,000",0
273,FSLR,"FIRST SOLAR, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,7.7,5.5,5.3,"7,577,789,000","1,086,280,000","876,068,000","277,611,000","213,998,000","179,921,000","5,738,945,000","7,577,789,000","195,636,000","-40,546,000",1
274,FISV,"FISERV, INC",US,Software & Services,Data Processing & Outsourced Services,8.7,3.7,6.4,"9,552,000,000",,"1,331,000,000",,"292,000,000","339,000,000","2,684,000,000","9,552,000,000","289,000,000",,1
275,FIVN,"FIVE9, INC",US,Software & Services,Application Software,4.8,5.7,5.2,"101,664,000","57,767,000","38,015,000","21,405,000","21,405,000","-3,639,000","25,759,000","101,664,000","-4,911,000","-717,000",1
276,FIVE,"FIVE BELOW, INC",US,Retail - Consumer Discretionary,Specialty Stores,1.2,4.6,5.6,"393,294,000","53,081,000","192,715,000","60,267,000","10,826,000","10,752,000","244,481,000","393,294,000","6,758,000","-27,307,000",1
277,FLDM,FLUIDIGM CORPORATION,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,6.1,3.9,5.4,"354,435,000","42,854,000","29,003,000",,"-20,646,000","-18,869,000","98,977,000","354,435,000","-19,884,000","13,737,000",0
278,FFIC,FLUSHING FINANCIAL CORPORATION,US,Banks,Regional Banks,0.5,3.1,4.5,"5,813,067,000","51,417,000",,,,,"487,779,000","5,813,067,000","9,561,000","9,054,000",0
279,KLAC,KLA CORPORATION,US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,4.9,4.7,4.5,"4,782,102,000","925,974,000","712,433,000","437,834,000","209,931,000","-208,750","476,572,000","4,782,102,000","175,777,000","-70,000",1
280,FORM,"FORMFACTOR, INC",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,2.8,1.8,6.2,"340,528,000","151,913,000","53,611,000","9,792,000","-13,770,000","-13,573,000","286,211,000","340,528,000","-13,800,000","5,649,000",0
281,FORR,"FORRESTER RESEARCH, INC",US,Professional Services,Research & Consulting Services,7.5,4.3,5.2,"322,919,000","78,654,000","77,401,000","50,213,000","50,213,000","2,712,000","130,200,000","322,919,000","1,289,000","25,323,000",0
282,FRTA,"FORTERRA, INC",US,Construction Materials,Construction Materials,1.5,4.5,5.4,,,"186,996,000","35,691,000","35,691,000",,,,"-3,936,000","-31,787,000",0
283,FTNT,"FORTINET, INC",US,Software & Services,Systems Software,4.6,3.4,5.5,"1,811,521,000","568,008,000","284,576,000","206,932,000","-3,258,000","-3,692,000","742,403,000","1,811,521,000","2,118,000","24,731,000",0
284,FWRD,FORWARD AIR CORPORATION,US,Air Freight & Logistics,Air Freight & Logistics,3.9,2.7,5.0,"689,053,000","38,037,000","229,548,000",,"20,823,000","21,405,000","510,570,000","689,053,000","13,099,000","4,725,000",0
285,FOSL,"FOSSIL GROUP, INC",US,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",6.2,4.8,6.0,"2,355,661,000","289,275,000","659,847,000","348,337,000","348,337,000","14,404,000","921,388,000","2,355,661,000",,,1
286,FOXF,FOX FACTORY HOLDING CORP,US,Auto Components,Auto Parts & Equipment,2.0,3.3,6.3,,,"80,217,000","25,118,000","4,407,000","5,694,000",,,"3,262,000","2,320,000",0
287,FELE,"FRANKLIN ELECTRIC CO, INC",US,Industrial Machinery,Industrial Machinery,5.5,5.5,4.4,"996,100,000","81,561,000","218,430,000","74,236,000","74,236,000","21,100,000","557,700,000","996,111,000","13,500,000","-6,919,000",1
288,FRPT,"FRESHPET, INC",US,Food Products,Packaged Foods & Meats,2.8,6.9,6.2,"114,280,674","266,129","31,453,700","14,887,887","14,887,887","-1,599,195","103,207,915","114,280,674","-1,771,802","-7,763,284",1
289,FRPH,"FRP HOLDINGS, INC",US,Real Estate Management & Services,Real Estate Operating Companies,3.5,3.1,3.9,"256,142,000",0,"9,615,000",,,"3,509,000","193,234,000","256,142,000",,0,0
290,FCEL,"FUELCELL ENERGY, INC",US,Electrical Equipment,Electrical Components & Equipment,5.6,3.7,4.6,"294,622,000","76,944,000","28,581,000","-157,000","-15,237,000","-12,708,000","96,824,000","294,622,000","-15,373,000",,1
291,FLGT,Fulgent Genetics Inc,US,Health Care Providers & Services,Health Care Services,5.9,6.9,5.5,,,"3,440,000","2,136,000","2,136,000","-615,000",,,"-543,000",,1
292,FULT,FULTON FINANCIAL CORPORATION,US,Banks,Regional Banks,1.1,4.8,5.2,"18,122,254,000",,,,"50,248,000",,"2,073,309,000","18,122,254,000","38,257,000","-17,641,000",1
293,GNTX,GENTEX CORPORATION,US,Auto Components,Auto Parts & Equipment,4.1,3.9,4.2,"2,197,312,121","626,470,720","405,567,786","158,690,788","119,569,612","120,848,990","1,748,955,089","2,197,312,121","80,279,994","74,913,193",0
294,THRM,GENTHERM INCORPORATED,US,Auto Components,Auto Parts & Equipment,3.3,4.7,6.4,"786,535,000","210,556,000","215,714,000","68,242,000","68,242,000","29,885,000","407,313,000","786,535,000",,"66,077,000",1
295,GABC,"GERMAN AMERICAN BANCORP, INC",US,Banks,Regional Banks,0.0,3.9,5.2,"2,866,727,000",,,,"6,911,000",,"321,638,000","2,866,727,000","5,146,000","-2,963,000",0
296,GERN,GERON CORPORATION,US,Biotechnology,Biotechnology,7.3,4.2,4.5,"143,143,000","12,802,000","749,000",,,"-9,077,000","136,485,000","143,143,000","-8,842,000",,0
297,GEVO,"GEVO, INC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,1.6,4.6,5.7,"95,512,000","8,672,000","6,320,000","-2,903,000","-2,903,000","-5,866,000","47,443,000","95,512,000","-3,605,000","-8,359,000",0
298,ROCK,"GIBRALTAR INDUSTRIES, INC",US,Building Products,Building Products,4.6,5.1,6.0,"884,449,000","82,627,000","237,671,000","54,150,000","54,150,000","17,761,000","420,948,000","884,449,000","9,029,000","13,769,000",1
299,GIII,"G-III APPAREL GROUP, LTD",US,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",1.9,3.7,3.1,"1,184,070,000","132,587,000","457,403,000","165,669,000","165,669,000","5,371,000","888,127,000","1,184,070,000","2,771,000","-37,139,000",0
300,GILD,"GILEAD SCIENCES, INC",US,Biotechnology,Biotechnology,6.6,5.7,5.7,"47,765,000,000","6,315,000,000","7,794,000,000","6,488,000,000","4,502,000,000","4,651,000,000","13,398,000,000","47,765,000,000","3,566,000,000","-6,536,000,000",1
301,GBCI,"GLACIER BANCORP, INC",US,Banks,Regional Banks,0.6,4.9,6.6,"9,120,742,000","150,861,000",,,"38,034,000",,"1,093,680,000","9,120,742,000","28,682,000","-42,392,000",0
302,GBT,"GLOBAL BLOOD THERAPEUTICS, INC",US,Biotechnology,Biotechnology,5.1,4.2,4.8,"138,971,000","133,984,000",,,,"-16,717,000","126,122,000","138,971,000","-16,600,000","-14,518,000",0
303,GOGO,GOGO INC,US,Telecommunication Services,Wireless Telecommunication Services,6.2,5.5,4.7,"986,022,000","113,165,000","141,746,000",,,"-8,592,000","46,995,000","986,022,000","-24,106,000","-34,177,000",1
304,GDEN,"GOLDEN ENTERTAINMENT, INC",US,Casinos & Gaming,Casinos & Gaming,3.0,3.5,4.3,"419,078,000","66,454,000","95,580,000",,,"3,737,000","214,519,000","400,619,000","2,239,000","-2,723,000",0
305,GPRO,"GOPRO, INC",US,Household Durables,Consumer Electronics,0.0,5.4,4.7,"928,929,000","248,717,000","183,536,000","59,714,000","59,714,000","-121,435,000","679,395,000","928,929,000","-107,459,000","-30,955,000",0
306,LOPE,"GRAND CANYON EDUCATION, INC",US,Diversified Consumer Services,Education Services,5.9,3.4,6.3,"960,703,000","48,793,000","226,958,000",,,"68,691,000","644,205,000","960,703,000","43,665,000","25,757,000",0
307,GLDD,GREAT LAKES DREDGE & DOCK CORPORATION,US,Construction & Engineering,Construction & Engineering,2.6,3.2,6.3,"872,502,000","15,894,000","163,119,000","19,990,000","19,990,000","-89,000","249,889,000","872,502,000","-4,035,000","1,710,000",1
308,GSBC,"GREAT SOUTHERN BANCORP, INC",US,Banks,Regional Banks,1.7,3.5,2.8,"4,314,644,000","221,731,000",,,"13,072,000",,"405,223,000","4,314,644,000","9,793,000","22,548,000",0
309,GPRE,GREEN PLAINS INC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,4.6,4.0,4.4,"1,919,412,000","383,442,000","749,204,000",,,"-22,646,000","769,069,000","1,919,412,000","-24,138,000","-1,425,000",0
310,GRPN,"GROUPON, INC",US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,0.7,4.8,4.4,"1,618,680,000","688,512,000","698,435,000","320,102,000","320,102,000","-45,148,000","384,324,000","1,618,680,000","-49,119,000","-168,843,000",0
311,GPOR,GULFPORT ENERGY CORPORATION,US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,1.0,3.0,6.4,"3,502,659,000","454,377,000","156,961,000",,,"-195,794,000","2,220,789,000","3,502,659,000","-242,267,000","341,403,000",0
312,HAIN,"THE HAIN CELESTIAL GROUP, INC",US,Food Products,Packaged Foods & Meats,3.2,4.8,6.2,"3,231,166,000","125,390,000","749,862,000","159,908,000","72,863,000","71,148,000","1,838,867,000","3,231,166,000","48,788,000",,1
313,HALO,"HALOZYME THERAPEUTICS, INC",US,Biotechnology,Biotechnology,5.4,3.9,5.7,"309,096,000","69,093,000","42,499,000","3,366,000","3,366,000","-16,169,000","29,472,000","309,096,000","-19,816,000","25,801,000",0
314,HONE,"HARBORONE BANCORP, INC",US,Banks,Regional Banks,2.1,3.6,5.0,"2,244,768,000","114,259,000",,,,,"191,881,000","2,244,768,000",,,0
315,HLIT,HARMONIC INC,US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.0,4.6,6.2,,,"81,832,000","40,654,000","-24,662,000","-20,756,000",,,"-25,180,000","-69,195,000",1
316,HAS,"Hasbro, Inc",US,Leisure Products,Leisure Products,7.9,6.5,6.4,"4,364,695,000","1,095,880,000","831,180,000",,,"85,916,000","1,607,390,000","4,364,695,000","48,751,000","119,130,000",1
317,HA,"HAWAIIAN HOLDINGS, INC",US,Airlines,Airlines,3.0,5.0,3.7,"2,570,015,000","388,913,000","551,180,000",,"83,104,000","96,950,000","486,232,000","2,570,015,000","51,466,000","107,411,000",0
318,HWKN,"Hawkins, Inc",US,Commodity Chemicals,Commodity Chemicals,3.7,1.1,6.7,,,"129,513,000","25,002,000","8,151,000","8,935,000",,,"4,859,000",,1
319,HCSG,"HEALTHCARE SERVICES GROUP, INC",US,Commercial Services & Supplies,Diversified Support Services,3.8,4.9,5.6,"503,095,000","29,120,000","384,807,000",,"29,604,000",,"312,955,000","503,095,000","18,626,000","-4,069,000",1
320,HQY,"HEALTHEQUITY, INC",US,Health Care Providers & Services,Managed Health Care,7.0,2.4,5.5,"219,795,000","83,641,000","44,013,000","27,681,000","27,681,000","13,250,000","203,457,000","219,795,000","8,073,000","9,125,000",0
321,HSTM,"HEALTHSTREAM, INC",US,Health Care Equipment & Supplies,Health Care Technology,6.7,3.8,5.4,"375,793,000","82,793,000","54,078,000",,,"2,487,000","282,144,000","375,793,000","1,501,000","783,000",0
322,HTLD,"HEARTLAND EXPRESS, INC",US,Road & Rail Transport,Trucking,3.9,3.6,4.7,"726,786,000","69,747,000","162,786,000",,"20,325,000","20,250,000","468,548,000","726,786,000","14,377,000","36,515,000",1
323,HTLF,"HEARTLAND FINANCIAL USA, INC",US,Banks,Regional Banks,0.0,4.0,5.4,"8,253,779,000","133,228,000",,,,,,"8,253,779,000","20,009,000","-125,571,000",0
324,HEES,"H&E EQUIPMENT SERVICES, INC",US,Trading Companies & Distributors,Trading Companies & Distributors,3.2,5.3,3.7,"1,274,791,000",,"247,010,000","81,144,000","81,144,000","22,432,000","139,201,000","1,274,791,000","5,574,000","-2,427,000",0
325,HSII,"HEIDRICK & STRUGGLES INTERNATIONAL, INC",US,Professional Services,Human Resource & Employment Services,6.7,5.1,6.2,"476,421,000","62,047,000","134,287,000",,,"3,868,000","254,863,000","476,421,000","1,325,000","-128,405,000",1
326,HMTV,"HEMISPHERE MEDIA GROUP, INC",US,Media & Entertainment,Broadcasting,6.7,5.3,4.0,"540,210,000","170,123,000","30,971,000",,"4,208,000","7,164,000","280,992,000","540,210,000","2,700,000",,1
327,JKHY,"JACK HENRY & ASSOCIATES, INC",US,Software & Services,Data Processing & Outsourced Services,8.7,4.2,6.4,"1,702,622,000","54,001,000","333,186,000","138,913,000","79,398,000","79,830,000","948,867,000","1,702,622,000","53,883,000",,1
328,HSIC,"HENRY SCHEIN, INC",US,Health Care Providers & Services,Health Care Distributors,8.7,6.2,4.3,"6,600,570,000","71,614,000","2,712,956,000","777,842,000","175,552,000","176,194,000","2,913,698,000","6,600,570,000","113,752,000","-472,000",1
329,HTBK,HERITAGE COMMERCE CORP,US,Banks,Regional Banks,0.0,3.0,6.0,"2,327,333,000",,,,"9,832,000",,"251,659,000","2,327,333,000","6,106,000",,0
330,HCCI,"HERITAGE-CRYSTAL CLEAN, INC",US,Commercial Services & Supplies,Environmental & Facilities Services,1.8,5.8,4.1,"301,848,000","23,608,000","78,453,000",,"-2,590,000","-2,072,000","189,165,000","301,848,000","-1,768,000","-1,209,000",0
331,HRTX,"HERON THERAPEUTICS, INC",US,Biotechnology,Biotechnology,5.1,3.8,4.8,"111,846,000","68,016,000",0,,,"-33,312,000","92,676,000","111,846,000","-33,445,000","-7,164,000",0
332,HSKA,HESKA CORPORATION,US,Health Care Equipment & Supplies,Health Care Equipment,6.1,6.4,6.1,"110,092,000","6,180,000","27,146,000","11,442,000","2,103,000","1,970,000","65,505,000","110,092,000","1,186,000","-710,000",1
333,HIBB,"HIBBETT, INC",US,Retail - Consumer Discretionary,Specialty Stores,1.0,6.1,6.1,"442,372,000","32,274,000","282,092,000","105,002,000","44,277,000","44,342,000","310,846,000","442,372,000","27,906,000","41,141,000",1
334,HOLX,"HOLOGIC, INC",US,Health Care Equipment & Supplies,Health Care Equipment,10.0,6.5,6.0,"7,286,300,000","441,500,000","693,300,000","385,000,000","91,900,000","136,100,000","2,044,400,000","7,286,300,000","68,900,000",,1
335,HOMB,"HOME BANCSHARES, INC",US,Banks,Regional Banks,0.9,3.1,4.1,"9,397,451,000","158,072,000",,,,,"1,227,782,000","9,397,451,000",,"-97,751,000",0
336,HMST,"HOMESTREET, INC",US,Banks,Regional Banks,1.0,3.5,6.4,"5,417,252,000","46,356,000",,,,,"529,132,000","5,417,252,000","6,407,000","13,672,000",1
337,HOPE,"HOPE BANCORP, INC",US,Banks,Regional Banks,0.0,2.9,5.4,"8,063,752,000","236,101,000",,,"39,800,000",,"961,982,000","8,063,752,000","23,623,000","-62,288,000",0
338,HBNC,"HORIZON BANCORP, INC",US,Banks,Regional Banks,1.5,3.4,4.9,"2,627,918,000","47,612,000",,,,,"261,417,000","2,627,918,000","5,381,000","-1,038,000",0
339,HMHC,HOUGHTON MIFFLIN HARCOURT COMPANY,US,Diversified Consumer Services,Education Services,9.4,2.4,5.4,"2,894,501,000","168,883,000","205,816,000","54,224,000","54,224,000","-122,204,000","1,006,488,000","2,894,501,000","-165,148,000","-65,374,000",1
340,HUBG,"HUB GROUP, INC",US,Air Freight & Logistics,Air Freight & Logistics,6.8,6.8,3.8,"1,264,646,000","200,256,000","805,859,000","108,387,000","108,387,000","28,843,000","623,247,000","1,264,646,000","17,965,000","-7,493,000",1
341,JBHT,"J B HUNT TRANSPORT SERVICES, INC",US,Road & Rail Transport,Trucking,7.7,3.0,4.9,"3,646,958,000","5,992,000","1,528,712,000",,,"167,890,000","1,286,080,000","3,646,958,000","100,098,000","426,000",1
342,HURN,HURON CONSULTING GROUP INC,US,Professional Services,Research & Consulting Services,6.7,5.5,4.3,"1,127,554,000","13,457,000","197,050,000","65,180,000","65,180,000","14,376,000","607,202,000","1,127,554,000","6,002,000","-44,980,000",0
343,IAC,IACINTERACTIVECORP,US,Interactive Media & Services,Interactive Media & Services,6.2,1.3,2.7,"5,052,343,000","1,238,664,000","819,179,000",,,"21,417,000","2,065,438,000","5,052,343,000","8,282,000","-242,783,000",0
344,IEP,ICAHN ENTERPRISES LP,US,Industrial Conglomerates,Industrial Conglomerates,2.9,4.3,3.3,"32,282,000,000","1,876,000,000","3,127,000,000","425,000,000","425,000,000",,"2,516,000,000","32,282,000,000","-837,000,000","-202,000,000",0
345,ICFI,"ICF INTERNATIONAL, INC",US,Professional Services,Research & Consulting Services,10.0,5.7,5.8,"1,102,165,000","9,359,000","283,599,000",,"15,524,000","17,694,000","528,228,000","1,102,165,000","9,891,000","1,612,000",1
346,ICHR,"ICHOR HOLDINGS, LTD",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3.6,5.3,6.2,,,"73,287,000","11,925,000","11,925,000","2,583,000",,,"107,000","-3,913,000",1
347,IESC,"IES HOLDINGS, INC",US,Construction & Engineering,Construction & Engineering,3.3,3.3,5.3,"235,779,000","58,269,000","159,981,000","27,812,000","2,204,000","2,504,000","109,826,000","235,779,000","2,194,000",,1
348,RXDX,Prometheus Biosciences Inc,US,Biotechnology,Biotechnology,7.3,4.2,5.1,"175,301,000","38,347,000",0,,,"-25,008,000","112,472,000","175,301,000","-25,492,000","-8,036,000",1
349,INFO,IHS INC,US,Professional Services,Research & Consulting Services,10.0,5.9,7.0,,"60,500,000","548,500,000",,"51,800,000","79,700,000",,,"45,200,000","-231,900,000",1
350,IIVI,II-VI INCORPORATED,US,"Electronic Equipment, Instruments & Components",Electronic Components,4.1,4.2,4.0,"1,222,395,000","187,373,000","205,105,000",,"17,364,000","19,390,000","778,193,000","1,222,395,000","14,938,000",,0
351,ILMN,"ILLUMINA, INC",US,Health Care Equipment & Supplies,Life Sciences Tools & Services,10.0,6.5,5.5,"3,687,747,000","769,000,000","572,000,000","397,000,000","397,000,000","121,000,000","1,848,553,000","3,687,747,000","90,000,000","-14,000,000",1
352,IMGN,"IMMUNOGEN, INC",US,Biotechnology,Biotechnology,6.1,3.9,5.4,"222,347,000","182,913,000","19,714,000",,,"-27,615,000","-41,143,000","222,347,000",,,0
353,PI,"IMPINJ, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,2.5,1.6,6.1,,"14,822,000","21,631,000","11,098,000","11,098,000","-1,868,000",,,"-2,330,000","4,701,000",0
354,INCY,INCYTE CORPORATION,US,Biotechnology,Biotechnology,3.6,4.6,5.9,"1,103,942,000","657,615,000","263,464,000",,"24,447,000","36,039,000","227,748,000","1,103,942,000",,"136,176,000",0
355,IBTX,"INDEPENDENT BANK GROUP, INC",US,Banks,Regional Banks,0.1,2.6,5.6,"5,261,967,000","356,526,000",,,"18,614,000",,"616,258,000","5,261,967,000","12,452,000","63,247,000",0
356,INFN,INFINERA CORPORATION,US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.6,5.0,6.1,"1,243,364,000","179,974,000","244,818,000","116,338,000","116,338,000","14,871,000","791,300,000","1,243,364,000","12,015,000","30,873,000",1
357,IMKTA,"Ingles Markets, Incorporated",US,Retail - Food & Staples,Food Retail,2.6,4.0,1.9,"1,681,048,218","9,066,843","924,312,049","228,718,090","22,436,411","33,127,646","449,820,293","1,681,048,218","14,358,411",,0
